AAS	教廷公報；宗座公報。全名是 Acta Apostolicae Sedis 。 
mental reservation	意中保留；心中保留指發言者之原意與其表面意義不盡相同；如秘書對來客擋駕時說「經理不在」，意思是「經理不便會客」，即為意中保留。又稱 mental restriction 。若聽者可意會言者之意，則情有可原；若聽者信以為真，則難逃撒謊之嫌。 
mercy	 (1) 慈悲；憐憫人雖犯罪，天主對人卻慈悲為懷，憐惜眾生。 (2) 功德；哀矜；施捨；援助；關懷人應有同情心，盡力滿足他人的需要，這也是正義和愛德之要求。 
mercy, corporal works of	物質援助；物質的佈施或施捨；（有）形哀矜如捐款給窮人。詳見 works of mercy, corporal 。 
mercy, spiritual works of	精神援助；精神方面的佈施或施捨；（精）神哀矜如為病人祈禱早日痊癒。詳見 works of mercy, spiritual 。 
mercy killing	安樂死；仁慈殺害。詳見 euthanasia 。 
merit	功勞；功德；功績行善者應得報酬之名分；神學上通常分為兩種 (1) 義理功勞 merit de condigno ，指狹義的功勞，即功勞與報酬旗鼓相當，譬如做多少工，就給多少工資。 (2) 情誼功勞 merit de congruo ，指廣義的功勞，即功勞與酬報並不完全相稱，靠付款者（賞報者）慈悲或承諾，譬如發給員工獎金多寡不一。 
meritorious works	善功；善工。 
Messiah (Heb.)	救世主（者）；基督；受傅（膏）者；默西亞；彌賽亞（基）源自希臘語 Christos 被傅油者，指某人被傅（膏）油以便接受諸如國王、司祭（司祭）等崇高的職位。逐漸變成耶穌的別名，指其身分。又稱 Messias 。 
metanoia (Gr.)	悔改；皈依。同 conversion 。 
metempsychosis	輪回指靈魂一旦離開某一肉體，便進入另一肉體，直到完全淨化、臻於永福為止的學說。 
Methodism	衛理會；循道會（派）；美以美教派十八世紀中葉由衛斯理兄弟(John Wesley, 1703-1791 、 Charles Wesley, 1707-1788)所提倡之教派；遵從《師主篇》之精神，注重虔誠，追求上帝，是由聖公會所分出的一派。 
metropolitan	教省總主教總主教。西方教會的總主教在省屬教區內有督導保持信德和認真遵循教會紀律之權責（法典 435-436)；而東方教會的總主教則不一定有省屬教區。詳見 province, ecclesiastical 及 archbishop 。 
Mgr. (It.)	蒙席；我主 monsignor 蒙席之縮寫，英文稱作 My lord ，為教宗賜給神父之榮銜。詳見 monsignor 。 
Michael, St.	聖彌格；聖彌額爾；米迦勒（基）總領天使之一（默十二 7)；慶日在九月廿九日。現多用 Micah 。 
Micheas	米該亞；彌迦書（基）舊約米該亞書著者，為小先知之一，與依撒意亞先知同時，曾預言基督誕生于伯利（米五 1-3)。 
Middle Ages	中古時代；中世紀 (1) 十至十五世紀。 (2) 自西元 800 年查理曼大帝加冕起至 1494 年查理八世侵入義大利止。 (3) 五世紀末至十五世紀。 (4) 近代學者訂為西元 476 年（西帝國滅亡）至 1453 年（東帝國結束）。 
Migne Edition	米聶版本（教父全集）指米聶 Jacques Paul Migne (1800-1875)所編之拉丁教父全集(1844-1855)及希臘教父全集(1857-1866)，出版於巴黎。 
Milan, Edict of	米蘭詔書西元 313 年 2 月羅馬君士坦丁大帝宣佈宗教信仰自由之詔書。 
Milan Catholic University	米蘭聖心大學為（方濟會）哲麥利神父(P.Gemelli)於 1920 年所創。意文為 Universita cattolica del Sacro Cuore 。 
military chaplain	隨營司鐸；軍中教士；軍營牧師。參閱 chaplain 。 
military order	軍人修會十字軍時代保護朝聖者之修會。 
military vicar	軍中教士總監（督）。 
military vicariate	軍中教士總監（督）區。 
Mill Hill Fathers	聖若瑟外方傳教會為英國 Herbert Vaughan 樞機于 866 年成立之英國天主教外方傳教會，俗名磨房山神父，簡稱 M.H.M. 。 
millenium, the	千年（說）；千福年；千禧年王國；太平盛世教會初期，有人根據默示錄（廿 4-6)，誤認為世界末日即將來臨，來臨前將有千年之升平時期（盛世）。事實上，千年只表示一段不確定的時期而已。又稱 Chiliasm 。 
minister	 (1) 聖事施行人；施（執）行聖事者；司祭；聖職人員；服事者；事奉者。 (2) 基督教牧師。 (3) 輔祭者；助祭舊禮大禮彌撒中的五、六品。 (4) 會長指方濟會。 (5) 理家指耶穌會院的總務。 
ministerial priesthood	公務司祭職指聖職人士，以別于一般教友之普通司祭職 common priesthood 。 
Minister of the Sick	靈醫會會士；嘉民會士；護病會會士義大利聖嘉民．來理斯 St. Camille de Lellis (1550-1614)於 1582 年在羅馬創立之修會。男女會士以紅十字作徽章；服務病患，開辦醫院為其主要工作。 1947 年到我國雲南工作；後遷臺灣，在羅東、澎湖等地設有醫院、護校等。又稱 Camillians 嘉民會士，或 Ordo Ministrantium Infirmis 護病會會士；簡稱 MI 。 
ministry	聖職；神職；牧職；聖工；事奉；使徒工作；服事；司祭職服務是基督徒生活的根本，具體表現在仁愛的工作上。教會的職務包括教誨、聖化、治理等，有些職務需聖職人員擔任，有些平信徒亦可充當。拉丁文為 ministerium 。 
ministry of the Divine word	聖道職宣講天主聖道的職務，是教宗、主教及其助手司鐸、執事、會士及平信徒的神聖職責（參閱法典 756-780)。 
ministry, pastoral	牧靈職務指牧者為人群服務，多指經由聖職聖事（受祝聖的）接受的管理、培養、領導等職務，亦指（未受祝聖的）全體教友的一般牧靈職務。 
Ministry, Sacrament of	聖秩（職）聖事。詳見 Orders, Sacrament of 。 
minor orders	小品指五品以下之聖職品級。梵二以前在西方教會中，小品包括一品（司門者）、二品（讀經者）、三品（驅魔者）、四品（輔祭者）。這些品級統稱為教會職務(ministry)，目前只保留讀經者及輔祭者兩項職務。參閱 lector 。 
minotanti	低級職員羅馬教廷之職員。 
miracle	奇跡（跡）；聖跡；神跡（跡）；靈跡指某些奇異事蹟的發生，超乎自然律的正規，只能歸功於造物主天主的大能。基督所顯的奇跡是證明祂的天主性。奇跡是天主能力的表現、是天主觸動人心的召喚。拉丁文稱作 miracula 。 
Miraculous Medal	聖母顯靈聖牌為紀念 1830 年聖母顯示于仁愛會修女聖加大利納(St. Catherine Laboure)而鑄之橢圓形聖牌，其正面為聖母像，背面為 M （代表聖母 Mary)字，上有十字，下有耶穌聖心及聖母聖心標誌。 
Miserere (L.)	憐恤取自聖詠第五十首的第一句「天主，求禰按禰的仁慈憐恤我」，為悔罪聖詠之一。 
Missa (L.)	彌撒；感恩祭。詳見 Mass 。 
Missa cantata (L.)	簡禮歌唱彌撒早年歌唱彌撒(Missa in Cantu)之一種；主祭者與教友唱和，並無高級聖職人士襄祭。 
Missa in cantu (L.)	歌唱彌撒早年彌撒舉行方式之一；即主祭者與教友唱和之彌撒。又分為大禮歌唱彌撒 Missa solemnis 及簡禮歌唱彌撒 Missa cantata 。稱大禮歌唱彌撒，因除主祭者外，尚有高級聖職人士襄祭。今日已不太嚴格區分。 
Missa lecta (L.)	誦讀彌撒彌撒舉行方式之一；主祭者並不歌唱之彌撒。 
Missa solemnis (L.)	大禮歌唱彌撒。詳見 Missa in cantu 。 
Missal	彌撒經書；彌撒經本；感恩祭典指羅馬禮的經書，涵蓋彌撒禮儀和祈禱文。 
Missal stand	彌撒經本架祭臺上放置彌撒經書的（木制或金屬）支架。 
Missale Romanum (L.)	羅馬彌撒經書（本）始於第九世紀的拉丁文彌撒經書，經多次更改，梵二大公會議後，大都改用本國語文（的彌撒經書）。 
missiology	傳教學研究在（尚未完全實行聖統制的）傳教地區，傳佈福音的學問和方法，是神學的一支。 
mission	 (1) 傳教；宣教；佈道；（教會的）使命；派遣；受遣傳道；傳教事業；傳教團體。 (2) 傳（宣）教區。 (3) 下會交通不便或缺少司祭之處，神父每年于指定時間，前往某地施行聖事、講道等，謂之下會或滿四規。 (4) 培靈會特別邀請非本堂區之神父，主持講道及聖事，以加強教友之宗教生活，通常舉行一周。我國尚不多見。 
mission, foreign	到國外傳教（佈道）；外方傳教指遵照基督的命令「你們往普天下去，向一切受造物宣傳福音」（穀十六 15)。 
mission, home	在國內傳教（佈道）有些（不屬於傳教區的）國家，因缺少司鐸而號召修會會士或其他地區神父，來主持並開展國內教務。 
mission society	傳教會；傳教團體；傳教修會；差會。 
Mission Sunday	傳教節；傳教主日通常在十月倒數第二主日；是日全教會為傳教事業祈禱及捐獻。 
missionary	傳教士；宣教師；傳教性的；受遣傳道者；傳教工作指以耶穌和教會的名義，到尚未信仰基督的人群中去宣傳福音，並培植教會的信徒。教會整個本質上是傳教性的，而福音傳佈工作又是天主子民的基本職務，為此所有基督信徒應有此共識，而參與傳教工作（法典 781)。 
missioner	傳教士；宣教師。同 missionary 。 
Missions Etrangeres de Paris (Fr.)	巴黎外方傳教會 1662 年由兩位在越南傳教的 Pallu 及 Lambert 主教，發起並組織的傳教團體；完全以傳教為目的，注重培植當地聖職人員，建立當地教會，會士無修會三願之約束，只守公規，度團體生活； 1683 年來到中國，傳教于東北、川貴、雲南、兩廣地區。現亦在花蓮教區服務。全稱是 Societe des Missions Etrangeres de Paris ，簡稱 MEP 。英文稱 Paris Foreign Missions 。 
mitre	禮帽；主教帽；牧冠；法冠；制帽教會高級聖職人士行聖儀時所戴用的禮冠。拉丁文稱作 mitra 。 
mixed marriage	混合婚姻；異宗婚姻尤指天主教與其他基督徒之婚姻。若無主管當局的明示許可，下列已領洗的雙方不得結婚一方在天主教，或皈依天主教，另一方加入與天主教不完全共融的教會而領洗者（法典 1124)。 
modernism	現代主義；近代主義乃十九至廿世紀初葉的學說，否認天主存在、耶穌的天主性、聖經的啟示、教會為神所建立以及聖事的神效。教宗碧岳十世曾於 1907 年予以譴責。 
monastery	 (1) 隱修院；修道院共誦日課、度團體奉獻生活的修院。 (2) 會院專指與外界隔絕、遵守禁地規則的男女會院。 
monasticism	隱修生活一些有志之士，為了全心侍奉天主，遠離世俗、遵守嚴規、共度團體共融的生活。 
Monday	星期一；禮拜一；瞻禮二。 
monism	一元論；一體論主張僅有一種根本實體「心」或「物」掌控一切事物。 
monk	隱修士 (1) 度隱修、祈禱、補贖、遵守三聖願生活的人士，包括本篤會、熙篤會等會士。 (2) 僧侶；和尚（佛）系借用此字，實際上二者之生活方式並不相同。 
monogamy	一夫一妻制指在婚姻中，一夫一妻的結合。天主教和中國民法宣導一夫一妻制，但不反對配偶去世後再婚。 
monogenesis	人類一元論；單偶論教會主張人類由一對夫婦而來；並反對人類多元論 polygenesis 的主張。 Monogenesis 又稱 monogenist 。 
Monophysism	（基督）一性說；基督單性說主張基督之人性被神性吸收； 451 年被教會處罰。加采東大公會議聲明基督有「神、人兩性一位」。又稱 monophysitism 。 
Monotheism	一神論；真神唯一論相信只有一位超出世界並有位格之神。 
Monothelism	基督單一意志說主張基督只有一個意志，否認基督兼有神、人兩意志的說法； 680 年被教會處罰。同 Monotheletism 。 
monsignor (It.)	 (1) 蒙席教宗頒賜有功神父的榮銜，通常可穿與主教近似之主教服裝。 (2) 主教拉丁國家都用此稱呼。 Monsignor 縮寫方式甚多英語通用者為 Msgr., Mgr. ，拉丁國家則用 Mons. 。法文稱作 monseigneur 。 
monstrance	聖體光（環）；聖體發光（座）；顯供聖體容器顯供聖體時所用之狀如光環的金屬裝飾品，中間存放聖體以供人瞻仰、敬禮。拉丁文稱 monstrantia ，又稱 ostensorium 。 
Monte Casino	喀西諾山；喀西諾山本篤會院由聖本篤於西元 529 年創建於喀（加）西諾山的本篤會院，曾多次被毀，尤以第二次世界大戰為甚。於 1954 年全部修復， 1963 年並增建一座新聖堂。詳見 Benedictine Order 。 
month of Mary	聖母月。參閱 May devotion 。 
month of special devotion	聖月教會規定特別祈禱之月份；如五月為聖母月、六月為耶穌聖心月、十月為玫瑰月等。 
Month's Mind Mass	忌月彌撒亡者去世（或埋葬）後滿一個月的追思彌撒。 
moral	 (1) 道德的；倫理的；良心的。 (2) (morals)道德律；倫理學；品行。 
moral act	倫理行為；道德行為指俱備靈性上的洞察力、個人知識和自由意志的行為，又可稱人的行為 human act 。 
moral person	法人根據教會法，指非自然人的社團或財團，作義務及權利之主體，如堂區、修院、修會等。 
Moral Rearmament Movement	道德重整運動為 1909 年信義會牧師布克曼博士(Dr. Frank Buchman)在美國普林斯頓所發起的運動，以正直、無私、純潔、博愛為號召，重整人心。簡稱 MRA 。 
moral theology	倫理神學；道德神學。 
morality	倫理（學）；道德（律）；德行。 
morality play	宗教劇；寓意劇流行於十五、十六世紀之宗教劇，內容以善惡對比為主，勸人行善戒惡。 
Mormonism	摩門教；摩爾門教；基督末世聖徒會又稱 Mormon ，乃 1830 年美國人史密斯(Joseph Smith, 1805-1864)自稱受摩門先知指示所建立之教會；教規禁煙酒、准多妻。又稱基督教末世聖徒教會 Church of Jesus Christ of Latter Day Saints 。 
morning offering	早晨獻功經；晨祭。 
morning prayers	早課經；早課；晨禱。 
Morning Star	曉明之星；曉星；晨星 (1) 指耶穌（默二 28)。 (2) 指聖母，見於聖母德敘禱文。拉丁文為 Stella Matutina 。 
mortal sin	大罪；死罪指與天主嚴重對抗、分裂的行為。按神學家意見，形成大罪有三條件為在「重大」事件上，「明知」、「故犯」天主的誡命。 
mortification	克苦；克己；禁欲；苦行；苦修。 
mortuary chapel	 (1) 墓地小教堂指墓地中特設的小教堂。 (2) 靈堂。 
Mosaic Law	梅瑟律；摩西律（基）指天主藉梅瑟給以色列人所宣佈的法律，在世上建立起神權政體的神國。內容以天主十誡為主，散見於舊約梅瑟五書中，希伯來人稱之為托辣。 
Moses	梅瑟；摩西（基）舊約中領導以色列民族擺脫埃及控制、並給他們宣佈天主法律的領袖。 
Moslem	回教徒；穆罕默德信徒；回教（徒）的。 
Most Reverend	至可敬的主教；主教閣下對（總）主教之尊稱。 
motet	多聲合唱樂曲；多聲合唱聖歌又稱 motette ，多取材於聖經，用拉丁語唱出，著名作曲者為帕勒斯特納 Giovanni Palestrina 及巴哈 Sebastian Bach 等。 
Mother	修女會的院長若干修女會上司之慣用稱謂。 
mother church	 (1) 主教座堂。 (2) 母堂附有若干支堂的大型聖堂。 
mother house	 (1) 母院指修會的第一所會院，有別於其他分院。 (2) 總會院指修會總會長所駐之會院。 
Mother of God	天主之母教會在很早就尊崇聖母為天主之母，因為耶穌基督是天主又是人。拉丁文稱作 Dei Genitrix 或 Deipara 。 
motu proprio (L.)	教宗手諭；自動詔書教宗所頒一般的行政命令之檔，只有教宗簽名。其他文件見 Bull 。 
Mount Carmel, Our Lady of	加美樂山聖母。詳見 Carmel, Our Lady of Mount 。 
movable feasts	可移動慶節；非固定慶節日期每年變換、不固定的慶節（瞻禮），如復活節、耶穌升天、聖神降臨、天主聖三等。 
movement, ecumenical	大公運動乃廿世紀以來，用來稱謂基督信徒（各宗派間）努力謀求合一的運動，甚至將此運動擴展到與猶太教和其他非基督宗教的交談上。簡稱 EM 。 
mozzetta (L.)	肩衣主教所穿附有小風帽之衣服。 
Mulieris Dignitatem (L.)	《婦女的尊嚴與聖召》書函教宗若望保祿二世所頒(15.8.1988)。 
mundus (L.)	世界；地球；世人；世俗；世界惡勢力。參閱若十五 19 。英文稱作 world 。 
Munificentissimus Deus (L.)	《欽定聖母升天》詔書教宗碧嶽十二世所頒(1.11.1950)欽定聖母瑪利亞靈魂與肉身升天為信理之詔書。 
Muratorian Canon (Fragment)	穆拉多利經目；姆拉多利殘卷最古老的新經書目，約成於 185 年；為義大利人(Lodovico Antonio Muratori,1672-1750)在米蘭盎博圖書館所發現，於 1740 年出版。 
Musicae Sacrae Disciplina (L.)	《聖樂規章》通諭教宗碧嶽十二世所頒(25.12.1955)。 
Muslem	回教徒；伊斯蘭教徒；穆斯林教徒信徒皆歸順阿拉。同 Muslim 或 Moslem 。 
myron	香膏；聖油東方禮教會為堅振所用的聖油。 
myrrh	沒藥新約中東方賢士所獻給耶穌的三禮之一，象徵耶穌的人性。其他兩項禮物是黃金、乳香。 
mystagogia (L.)	釋奧；解釋奧跡；傳授奧秘。英文稱作 mystagogy 或 mystagogue 。 
Mysterium Fidei (L.)	《信德的奧跡》宣言教宗保祿六世所頒(3.9.1965)。 
mystery	奧跡（跡）；奧理；奧秘；聖餐禮從神學角度看，富有神聖特性的隱密或神秘之事蹟。乃非經天主啟示，理性無從得知的真理－僅知其然而不知其所以然。譬如聖三奧跡、降生奧跡、恩寵奧跡等。天主本身和祂的救恩計畫以及基督事蹟，分別構成奧秘的核心意義。 
Mystery, Paschal	逾越奧跡指基督超越死亡、光榮復活，亦即由黑暗至光明、戰勝奴役、恢復自由之救世奧跡。 
mystery of faith	信德的奧跡 (1) 指一般信德的奧跡，如天主降生救世，天主聖三等。 (2) 特指彌撒聖祭。 
mystical	奧秘的；神秘的。 
mystical body (of Christ)	奧體；基督奧體；基督妙體根據聖保祿的訓誨，耶穌為教會之「首」，聖神是「靈魂」，生者和死者信友皆為「肢體」（哥一 18 ；二 19 ；弗一 22 ；四 4-16)。基督奧體說明教會由於分享基督的生命而成為團體，也宣示教會與基督，以及信徒之間的密切結合。 
mystical marriage (union)	神婚；神秘之結合指基督與教會之結合，也指基督與人靈之結合。 
Mystical Rose	玄義玫瑰聖母德敘禱文之一句，指聖母。 
mystical theology	神秘神學。 
Mystici Corporis (L.)	《奧體》通諭教宗碧嶽十二世所頒(29.6.1943)。 
mysticism	 (1) 神秘義；天人合一指超乎尋常的與神明結合共融。又可稱神秘思想或生活。 (2) 神秘神學。 (3) 默想；默觀與天主結合以至忘我的境界。 
myth	秘思；神話泛指一般有深度、含終極意義的故事，以暗示超越的境界，引人去正視生命中莊嚴的主題。 
Nahum	納鴻；那鴻書（基）。舊約先知書之一；曾預言尼尼微城之毀滅（西元前 608 年）。 
name, Christian	聖名；洗名一般都取自聖人的名字，包括 (1) 領洗時所取之名，又稱洗名，參閱 baptismal name 。 (2) 領堅振聖事者、或修會會士發願者所起之名，又稱會名。 
name day	主保瞻禮；主保聖人瞻禮；主保（聖人）節教友或會士紀念自己所取聖人（聖名）的紀念慶日（瞻禮日），視同自己的生日慶祝。 
names of God	天主的聖名；天主的名字天主按照自己的肖像造了人，聖經揭示了天主許多名稱高高在上的神(El Elohim)、雅威(Yahweh)、造物主(Creator)、耶穌(Iesus)、阿爸父啊、主(Kyrios)、至高神明、天主。中國人稱天主、上帝、老天爺、造物主等等。 
National Catholic Welfare Conference	美國天主教福利會為美國主教團于 1919 年所創立，為推動教育、社會福利、移民、青年等事業。簡稱 NCWC 。 
National Conference of Catholic Bishops	天主教全國主教會議簡稱 NCCB 。 
National Council of Churches of Christ	全國基督宗教協（進）會。 
native clergy	本籍教士；本地（土）聖職界指本土的聖職界；與外籍聖職界相對照。外籍傳教士乃傳教區的福傳先驅，其最終目的是提拔當地本籍人士，以便建立由本籍教士組成的本土教會。 
Nativity of Christ	耶穌聖誕；聖（耶）誕節簡稱 Christmas 。新約路加福音記述，若瑟從納匝肋城到猶太名叫伯利（白冷）的達味城去，好同自己懷孕的聘妻瑪利亞去登記，他們在那的時候，她生產的日期滿了。便生出她的頭胎男兒，用繈褓將祂裹起，放在馬槽中 … 忽有一大隊天軍，同那天使一起讚頌天主說天主在天受光榮，主愛的人在世享平安（路二 4-14)。 
Nativity of Our Lady	聖母誕辰。聖母瑪利亞的生日，慶日在 九月八日 。 
natural law	自然律基於人性、物性之法律。 
natural religion	自然宗教從自然現象產生的宗教；以別於啟示宗教。 
natural theology	自然神學主張不以啟示，而用理性論證，就可證明天主之存在的哲學思想。 
naturalism	自然論；自然主義主張只有自然世界，否認超自然和啟示的思想系統。 
nature	本性；本質；性體；自然；性質；體如三位一體。 
nave	中央走道教堂中間自入口處到祭台前的走道，是進出聖堂必經之路。 
Nazarene	納匝肋人；拿撒勒人（基） (1) 耶穌。 (2) 輕蔑教友語。 
Nazareth	納匝肋；拿撒勒（基）耶穌的故鄉。 
necessitas (L.)	必要（需）；緊要聖思定名言在緊要的事上應一致，在懷疑的事上可任選，在一切的事上要友愛－ in necessariis unitas, in dubiis libertas, in omnibus autem caritas 。 
necrology	亡者名錄。 
Nehemiah, Book of	乃赫米亞書；厄斯德拉下；尼希米記（基）舊約中的一部，記述猶太人由充軍地回國後，省長乃赫米亞整修耶京城牆、整頓政風、並與厄斯德拉一起恢復梅瑟與主所立之盟約等事蹟。 
Neo-Catholics	新天主教派泛指基督教派中認同天主教神學或儀式者。 
neophyte	 (1) 新教友；新皈依者。 (2) 新手甫踏入某一新生活（舞臺）者，如新司鐸、新加入修會的修士或初學生。 
Neo-scholasticism	新士林派；新經院學派。 
Nestorianism	景教；聶斯多略派；涅斯多留派為五世紀聶（奈）斯多略 Nestorius 所創立之教派，主張基督有兩位格及兩性體，瑪利亞只是基督人性的母親，並非天主之母； 431 年被教會譴責； 636 年唐貞觀九年傳入中國，名為景教，在新疆遺留下大量的活動遺跡，包括文書、繪畫、墓碑。 
new birth	重生；新生悔過後重新作人。 
New Covenant	新（盟）約；新律乃天主與世人之間經由耶穌所訂立的新盟約，（業已實踐並）勝過天主與梅瑟所訂之「舊約」（瑪廿六 28 ；路廿二 20)。 
new heaven and new earth	新天新地；天堂公審判後，天主與義人團聚的地方或狀態（默 廿一 1-4)。 
new humanism	文化新時代；新人文主義。 
New Law	新約；新律。詳見 New Covenant 。 
New Testament	新約；新經天主與以色列在西奈山所建立的關係稱為（舊）盟約，後因這約每下愈況時，經由耶穌的宣講和救贖建立了新的盟約，稱為新約。盟約記載于經書內，稱為聖經，聖經分舊約和新約兩部分，新約就是指天主與人類所訂立之新的盟約，共 27 卷，包括四福音書、宗徒大事錄、 21 封書信、默示錄。計為瑪竇福音、瑪（爾）谷福音、路加福音、若望福音、宗徒大事錄、羅馬書、格林多前書、格林多後書、迦拉達書、厄弗所書、斐理伯書、哥羅森書、得撒洛尼前書、得撒洛尼後書、弟茂德前書、弟茂德後書、弟鐸書、費肋孟書、希伯來書、雅各伯書、伯多祿前書、伯多祿後書、若望一書、若望二書、若望三書、猶達書、默示錄。 New Testament 簡稱 NT 。（依據思高聖經學會譯釋本）。 
new world	新天地；新世界世界末日來臨時，天主將消滅被罪惡所污染的天地，另創一個新天新地－天堂，為安置凱旋教會中的義人，與天主共用永福（默廿一 1-8)。 new world 又稱新天新地 new heaven and new earth 。 
Newman, John Henry, Cardinal	紐曼樞機英國神學家和作家(1801-90)，由英國國教皈依天主教，並升為樞機。 
Newman Club	紐曼社非天主教大學中的天主教同學會。 
Nicaea, Councils of	尼西（才）亞大公會議因在小亞細亞古城尼西（才）亞召開而得名。第一屆於 325 年召開，聲明基督與聖父同性同體；第二屆於 787 年召開，聲明敬禮聖像合乎教理。 
Nicene Creed	尼西（才）亞信經為 325 年第一屆尼西（才）亞大公會議所宣佈的信經。參閱 Athanasian Creed 。 
Niceno Constantinopolitan Creed	尼西（才）亞．君士坦丁堡信經。見 Nicene Creed 。 
Nicholas of Myra, St.	聖尼閣；聖尼各老（第四世紀）小亞細亞之米拉城主教，經常扶弱濟貧，是一位極受人歡迎的聖人，在每年十 二月六日 慶祝，為傳說中的聖誕老人。 
Nicodemus	尼各得睦；尼苛德摩；尼哥底母（基）新約中耶穌的私淑弟子，曾在夜間拜訪耶穌（若二 11 ；七 50)，並為耶穌料理後事（若十九 39)。 
nihil obstat (L.)	審查通過；無妨出版出版品經教會當局審查通過之證明，一般先經教會學者、專家審查通過後，再由教會上司核准出版 imprimatur 或 imprimi potest 。 
Nine Choirs	九品天使（神）；天使等級。又稱 Celestial Hierarchy 。詳見 Choirs of Angels 。 
Nine Fridays	首星期五九日敬禮；首瞻禮六九日敬禮連續九個月，在每個月之首星期五，為賠補耶穌聖心所受之侮辱，以辦告解、望彌撒、領聖體方式特別榮耀耶穌聖心之敬禮。 
nirvana	涅盤；超脫；圓寂；解脫因徹底斷絕貪愛和執著而達到完全自由、寧靜、解脫的境界。 
Noah	諾厄；諾亞（基）洪水時代之古猶太族長（創六 9…)，又名 Noe 。參閱 ark, Noe 。 
Noble Guard	貴族衛士；貴族衛隊教宗衛隊之最高級，共七十七人，選自羅馬貴族，作教宗之貼身侍衛；于大節日時，身穿鮮豔之服裝，參加遊行等活動；始自 1801 年。 
Nocturn	夜課經今稱誦讀日課。詳見 Breviary 。 
Noe ark	諾厄方舟又稱 Noah's ark 。參閱 ark, Noe 。 
Noel (Fr.)	 (1) 耶誕節。詳見 Nativity of Christ 。 (2) 聖誕歌；聖誕詩。 
noli me tangere (L.)	別拉住我瑪達肋納見到復活後之耶穌，情不自禁地想上前拉住耶穌，耶穌向她說「你別拉住我不放 … 」（若廿 17)。 
non expedit (L.)	礙難照準教會公文中拒絕請求時用語。 
Nona (L.)	午後經；九時經日課之一部份。詳見 Breviary 。 
non-Catholic	非天主教徒指雖領過洗禮，但非天主教一分子，如基督新（誓反）教徒、裂教徒等。 
non-Christians	非基督信徒尤其指猶太教徒、回教徒、異教徒。 
norms of the life	生活的標準。 
Nostra Aetate (L.)	《教會對非基督宗教態度》宣言梵二大公會議文獻之一(28.10.1965)。簡稱 NAE 。 
notes of the Church	教會的特徵；教會的標記（記號）指唯一、至聖、至公、由宗徒傳下來的教會。拉丁文稱作 notae Ecclesiae 。 
Notre Dame (Fr.)	 (1) 我們的母親指聖母。 (2) 聖母大學美國印底亞納州聖母大學。 (3) 聖母大教堂巴黎出名的聖母大教堂－巴黎聖母院。原為法文，與英文 Our Lady 同。 
novena	九日敬禮一連舉行九日的宗教活動，如祈禱、聽道、遊行等。連續舉行九日，或每週、每月於特定日期連續舉行九次。源自聖神降臨前之九日祈禱（宗一 12-14)。教宗逝世舉行的九日敬禮彌撒稱為 Pope's Novena 。 
novice	 (1) 初學生欲加入男女修會的信友，必須經過一年或多年之適應、學習階段，期滿後再決定是否加入該修會；這些人稱之為初學生，或稱為初學修士或修女。 (2) 新教友；新皈依者；新信徒；見習生；新進者。 
novitiate	 (1) 初學。 (2) 初學期。 (3) 初學院欲加入男女修會，所必經的一年或多年之學（見）習階段。在此時期，初學生通常不得參加影響靈修的院外活動。初學期之領導人，稱男、女初學導師 novice master /mistress 。 
N. T.	新約新約之簡寫，全文為 New Testament 或 Novum Testamentum (L.)。 
Numbers, Book of	戶籍紀；民數記（基）舊約梅瑟五書之一，為出谷紀之延續，因記有許多數字，故名。書中記載希伯來族分為十二支派，各自獨立，但藉由同一宗教盟約的信心而團結。他們雖曾與梅瑟發生爭執，但由此書可看出他們的社會及宗教組織是以信德（心）為基礎。 
nun	修女；女修道士；尼姑（佛教）原字來自拉丁文 nonna ，意為保姆；按原意 nun 與 sister 有別前者指矢發盛式願，又稱特典願 solemn vows 之修女，後者專指矢發簡式願，又稱常典願 simple vows 之修女；今則通用。 
Nunc Dimitis (L.)	西默盎讚歌亦即 canticle or song of Simeon ，其首句為「主啊！現在可以照禰的話，放禰的僕人平安去吧！」（路二 23-32)。用於日課經之夜禱中。 
nunciature (L.)	 (1) 教廷大使館。 (2) 教廷大使職。 (3) 教廷大使任期。同 embassy 。 
nuncio, apostolic	教廷大使駐在大部為天主教徒國家的教廷大使，為使節團之團長。詳見 papal legate 。 
nunery	修女院；女修道院 nunery 為古用法，今多用 convent 。 
Nuptial Blessing	婚配降福；婚禮祝福婚配彌撒中，天主經後給與新郎新娘的特別祝福。 
Nuptial Mass	婚配彌撒；婚禮彌撒為結婚夫婦所舉行的特別彌撒。 
O Antiphons	長對經。耶誕節前七天，在日課晚禱中所誦的七端長對經，每端皆以「 O 」開始。 
O Salutaris (L.)	贖世羔羊曲拉丁文聖體歌之一，為十三世紀聖道茂．阿奎那(St. Thomas Aquinas)所作。歌名來自全歌之首句「 O Salutaris Hostia 」，直譯為「籲，使人得救之犧牲」。 
OAR	重整思定（奧斯定）會為 Order of the Augustinian Recollects 之縮寫。 
oath	宣誓；誓言乃呼求天主之名，為真理、正義作證，證明自己所言屬實之行動。通常手按聖經以示隆重，拉丁文稱為 iusiurandum （法典 1199)。世人不可濫用天主聖名，更不可發假（虛）誓，呼號天主為自己的謊言作證，或作出無意履行的承諾。 
Obadiah	亞北底亞（先知）。詳見 Abdia 。 
