Baptist Church	浸信會基督教更生團體之一，強調施行浸禮的重要性。又稱 Baptists 。 
Militant Church	戰爭的教會；作戰的教會指為抵抗三仇（魔鬼、世俗、情欲）以爭取永生，仍生活于現世之教會（友）。與受苦的教會－煉獄，和得勝的教會－天堂，同屬基督奧體。 
spiritual director	神修指導；靈修導師；神師（神父）。 
Rite of Lyons	里昂禮梵二前法國里昂教區專用禮儀，亦即昔日的高盧禮。 
burial Mass	安葬彌撒；殯葬彌撒。 
Biblical Inspiration	聖經靈感；聖經啟示特指天主對某些人之啟迪、默感、默啟、默示，使人知道祂對人類的計畫，推動他們完成天主想要做的事，寫出天主想要說的話；聖經的作者就是在這種（天主）默感推動下寫成的（約卅二 8 ；弟後三 16 ；伯後一 21)。 
liturgical colo(u)r	禮儀慣用顏色指祭衣（祭服）和教會飾物所慣用的各種顏色，始於十二世紀。計分五色白、紅、綠、紫及黑色，間亦用玫瑰色及金色。 
Book of Jonah	約納書；約拿書（基）舊約十二小先知書之一，約成於西元前 400 年，主題是上主的救援遍及全人類。 
papal primacy	教宗首席權。詳見 Peter, primacy of 。 
the Book of Tobit	多俾亞傳舊約之一部，記述一個充軍亞述，熱心猶太家庭的傳奇故事。又稱 Tobia 。 
Book of Hosea	歐瑟亞書；何西阿書（基）。見 Osee 。 
Book of Joshua	若蘇厄書；約書亞記（基）舊約史書之一，記載希伯來民族定居客納罕 Chanaan 福地之經過。 
votive candles	獻願蠟燭；獻蠟在祭台或聖像前所奉獻的蠟燭，表達自己的愛心和誠意。 
ecclesiastical burial	天主教葬禮指遵照天主教禮儀所舉行之葬禮。凡已領洗之教友或未領洗之望教者，均可依禮葬于已祝聖過的天主教墓地（又稱聖山），但不禁止火葬（法典 1176)。裂教者、故意自殺者、公開罪人而未悔改者和被開除教籍者，昔日原則上均不得舉行天主教葬禮，且不能葬於天主教公墓中。最新法典則沒有明文規定，為了維護並提高墓地之神聖性，可透過特別法予以規範（法典 1243)。 
liturgical cycle	禮儀週期分耶誕節和復活節兩大週期，此兩週期外則為常年期。耶誕節週期包括將臨期、聖誕期；復活節週期包括四旬期、復活期。 
processional cross	遊行十字引導遊行的十字架。 
the Beatitudes	真福八端；八福；山中寶訓詳見 Sermon on the Mount 。 
the Gentiles	外邦人；異教徒聖經中猶太人對非猶太人之總稱，後來演變成基督徒對非基督徒之總稱－但不包括猶太人。 
the Precious Blood	基督寶血；耶穌寶血 (1) 耶穌十字架上所流的血，救贖了人類。 (2) 司祭祝聖過的葡萄酒變成了耶穌的寶血。 (3) 基督寶血彌撒特別敬禮基督寶血的彌撒。昔日在七月一日有基督寶血節。 
vocal prayer	口禱；念經。 
public cult	公共敬禮。 
Epistle of St. Jude	猶達書；猶大書（基）新約書信之一，相傳由使徒猶達（又名達陡）約於西元 64-65 年間所書；勸告信友堅持信德及愛德，揚棄假學士之邪說。 
rank of feasts	慶節等級；節慶等級；瞻禮等級目前共分主日、節日、慶日、紀念日，餘為平日。 
particular Judgement	私審判每個人死後立刻接受天主的審判。與公審判相對照。 
high priest	大司祭。詳見 high priest 。 
Congregation of Extra-ordinary Ecclesiastical Affairs	非常教務部 1793 年教宗碧嶽六世設立，以處理當時高盧王國事件；教宗碧岳七世於 1814 年擴大其範圍，處理全教會一切劃分教區、任命主教等事件。現改為主教部。 
age of reason	理智年齡；懂事年齡指明辨是非、善惡的年齡；教會通常以七歲推定為理智年齡，因而也應受到法律規範。 
Gregorian Masses	國瑞彌撒為同一意向連續舉行卅日的彌撒。 
the Bible	聖經是一部載有天主聖言的著作，是由聖神啟示而寫成，也是天主向全人類發出的救恩訊息，又稱 Scripture 。 Bible 取自希臘文之 Biblion ，意指經書，拉丁文稱作 Biblia ；聖基所（又稱金口若望 John Chrysostom 344-407)始用此字指新、舊約全部。聖經雖由許多人寫成，卻不失為一體，因為天主自己是作者。聖經共計 73 卷，其中舊約亦稱古經 Old Testament 共 46 卷，新約亦稱新經 New Testament 共 27 卷。詳見本書附錄。 
Paschal Mystery	逾越奧跡指基督超越死亡、光榮復活，亦即由黑暗至光明、戰勝奴役、恢復自由之救世奧跡。 
regulation of births	調節生育。
the chaste Spouse	淨配指未圓房之夫妻。天主教專指聖母與聖若瑟的婚姻關係為淨配。 
Methodist Church	衛理會；循道會。詳見 Methodism 。 
Father of the Church	教父指初期的教會作家，以正統的教義和聖潔的生活著稱，因此受到教會嘉許，而被視為信仰之見證人，其特徵是年代久遠、正統教義、生活聖潔、教會嘉許。 
Book of Judith	友弟德傳舊約史書之一，記述猶太孀婦友弟德刺殺亞述國之將領，拯救以色列人脫離亞述國侵襲 之經過。 
pastoral council	牧靈委員會每一教區應成立牧靈委員會，對教區的牧靈工作，加以研究、探討，並提出實際的結論（法典 511)。 
causa finita (L.) Roma locuta	羅馬一發言，問題就解決乃聖思定名言，表示教宗一言九鼎，羅馬說了，便決定了。 
Sacrament of Reconciliation	和好聖事；告解聖事。詳見 Penance, Sacrament of 。 
territorial prelature	自治監督區因特殊環境而托給某一監督 prelate ，管理某一特定地區教友，以牧人身份治理之，一如教區主教（法典 370)。與自治會院區 territorial abbacy ，以及自治社團 personal prelature 很類似（法典 294)。 
non (L.) placet	不贊成教會人士開會時表示反對所慣用之拉丁語。 
Vigil of Pentecost	五旬節前夕聖神降臨前一日。 
conditional Baptism	條件洗禮當懷疑洗禮的有效性時（在不知是否已接受或能否接受洗禮的情況下），為慎重起見所舉行之有條件的（第二次）洗禮。 
Sanctuary Lamp	聖體燈在供放聖體的地方所燃的長明燈。通常為紅色，表示聖體之所在，代替（表）世人陪伴聖體，並提醒世人前來朝拜耶穌。 
Mass of dawn	昧爽彌撒；黎明彌撒耶誕節的第二台彌撒。又稱 Aurora, Mass of the 。 
ecclesiastic tradition	教會傳統（承）。 
St. Francis Xavier	聖方濟．薩威舊譯方濟各沙勿略(1506-1552)，西班牙籍耶穌會神父， 1541 年到印度、麻 六甲 及日本各地傳佈福音，達十年之久，勸化多人歸正。 1552 年死於中國上川島。被教會奉為傳教區主保。 
the illuminative way	明路經由積極修德，追隨耶穌芳蹤，走向光明大道。神修理論中，有人把神修分為三級煉路 purgative way 、明路 illuminative way 及合路 unitive way 。意謂積極修德努力追隨基督之階段。明路為第二級。 
Mass of the Aurora	黎明彌撒；昧爽彌撒耶誕節三台彌撒中的第二台。其他兩台是子時彌撒（第一台）和天明彌撒（第三台）。 
receive the Holy order	領受聖秩（職）；領受神（聖）品。 
ecclesiastical courts	教會法庭。 
Chinese Catholic Bishops' Conference	天主教中國主教團。詳閱 Chinese Regional Bishops' Conference 。 
Book of Judges	民長紀；士師記（基）舊約七書之一，作者不詳，記載自若蘇厄死時起，至達味時代，眾民長（民族英雄）之英勇故事。 
apostolic zeal	傳教神火；宣傳宗教之熱忱。 
the Columban Fathers	高隆（龐）會 1918 年喀（賈）爾文神父(Edward J. Galvin)成立於愛爾蘭的（男）修會。 1920 年率會士來華傳教，後任漢陽主教。 1922 年成立高隆修女會 The Columban Sisters 。 
Ash Wednesday	 聖灰禮儀星期三指紀念耶穌受苦受難的四旬期開始，在星期三舉行聖灰禮儀儀式－在額頭上敷以聖灰，提醒教友「人原來是土，將來仍要歸於灰土」（創三 19)，或「你們要悔改，信從福音！」（瑪一 15)。 
the angelic hymn	天使之歌；光榮頌；「天主在天受光榮」頌指彌撒中所誦（唱）的光榮頌；拉丁文為 Gloria in Excelsis Deo ；又稱大榮福頌或聖三光榮頌，前兩句是天使向牧人報告耶穌降生的喜訊「天主在天受光榮，主愛的人在世享平安」（路二 14)。可參閱 doxology 。 
Book of Genesis	創世紀；創世記（基）舊約第一部；描述萬物起源，表示上主與世人和以色列最初訂立的盟約。普通以為梅瑟所作，資料來源出自口傳。 
St. Bartholomew	聖祿茂；巴爾多祿茂；巴多羅邁（基）耶穌十二宗徒之一。 
sanctifying grace	寵愛；聖化聖寵。詳見 grace, habitual 。 
mental prayer	心禱；默禱；默想。 
Epistle to the Galatians	迦拉達書；加拉太書（基）新約保祿書信之一，致迦拉達教會之書信，撰於西元 56-57 年之間；保祿一則極力證明自己的宗徒職權，一則力陳舊約法律為成義無用，必須靠對基督的信德，最後提出了生活的勸言。 
Gospel of St. Mark	馬谷福音；馬可福音（基）新約四部福音之一，相傳為新約成書最早之一部，用希臘文寫成，寫作的對象是信奉基督的外邦人，曾具體描述基督所行的奇跡，以證明祂具有超自然的能力。 
paschal candle	復活蠟燭；五傷蠟象徵受難與復活的耶穌。 
Holy Spirit	聖神；聖靈；天主第三位聖父、聖子、聖神是三位一體的天主，而聖神是三位一體天主的第三位。同 Holy Ghost 。 
titular abbot	名譽隱修院院牧（長）；領銜隱修院院牧（長）。 
Canticle of Zachary	匝加利亞歌；贊主曲出自路一 68-79 ，教會於每日晨禱時誦念。 
adoration of Heart of Jesus	耶穌聖心敬禮心是愛的標記，敬禮耶穌聖心表示還報耶穌對人類的愛。參閱 Sacred Heart of Jesus 。 
Sacred Congregation of the Sacraments	聖事部教廷部會之一，管理有關聖事之一切事項，由教宗碧嶽十世(St. Pius X)成立於 1908 年，現改為 Congregation for Divine Worship and the Discipline of the Sacraments 敬禮與聖事紀律部。 
apostolic benediction	教宗祝福。詳見 blessing, apostolic 。 
Epistle to the Thessalonians	得撒洛尼書；帖撒羅尼書（基）乃聖保祿宗徒於西元 51-52 年間寫給得撒洛尼信友的書信，為解答他們的疑難問題，並改正他們的毛病。共分前、後書。 
Octave of Pentecost	五旬節八日慶期；聖神降臨節八日慶期。今已取消 
the Vincentians	遣使會；文生會由聖文生（萬生、萬桑）．味增爵 St. Vincent de Paul (1580-1660)于 1625 年創立于法國的修會，該會以培育聖職人員和救濟窮人為宗旨。 1699 年來到中國，除供職朝廷外，並在河北、蒙古、河南、浙江等地傳教。臺灣光復後也來臺北、嘉義、台南及高雄教區服務。舊稱味增爵會。 
ascetical theology	神修學；靈修（神）學；苦行學講授有關愛主愛人、克己苦行、度嚴格自律生活的神學。 
Society of the Propagation of the Faith	傳信善會；傳信會由法國雅麗歌小姐(Pauline Jaricot 1799-1862)于 1882 年成立于里昂，以幫助傳教地區之經費為目的。 1923 年由傳信部接管。傳信會在世界各地設有分會，向教友勸募後，彙集羅馬總會，再由總會按各地需要分配。 
Sacred Congregation of Council	會議（聖）部 1564 年由教宗碧嶽四世設立。 
Sacrament of Ministry	聖秩（職）聖事。詳見 Orders, Sacrament of 。 
act of faith	 (1) 信心行為；啟發信德。 (2) 信德頌慣用祈禱文之一。 
Sacred Congregation of Rites	聖禮（聖）部教廷部會之一， 1587 年由教宗思道五世(Sixtus V)創立，管理聖禮及有關聖人列品等事項，現已改分為兩組 (1) 禮儀或敬禮組審查有關敬禮的禮儀。 (2) 司法或調查組管理列品（真福，聖品）案件。 
diocesan synod	教區會議教區主教所召開的全教區會議，出席成員除主教、副主教、主教代表外，也包括司鐸、平信徒、修會代表等（法典 460-468)。 
the Benedictus	 (1) 讚美歌；贊主曲；以色列頌為匝加利亞讚頌其子為救主前驅之歌（路一 68-79)。 (2) 有福頌昔日歌唱彌撒中歡呼歌 Sanctus 分兩段唱出，該詞為後半段之首字，拉丁文為 Benedictus 。現在前後兩段一併唱出。彌撒中讚美歌譯為「奉上主名而來的，當受讚美，歡呼之聲，響徹雲霄」（瑪廿一 9)。 
ecumenical movement	大公運動乃廿世紀以來，用來稱謂基督信徒（各宗派間）努力謀求合一的運動，甚至將此運動擴展到與猶太教和其他非基督宗教的交談上。簡稱 EM 。 
general superior	總會長；總長職掌某修會全會會務者。 
habitual grace	寵愛；常存聖寵是常的向善傾向，使人依照天主的召喚而生活和行動；是天主賜給沒有大罪的善人之超性生命，得以分享天主的生命，成為天主的義子義女，蒙天主鍾愛。又稱聖化聖寵 grace, sanctifying 。 
Tower of Babel	巴貝耳塔；巴別塔（基）；分音塔。諾厄子孫想建一所摩天塔向世人炫耀，但因此舉違背天主的旨意，因此天主讓他們語言分歧，以致半途而廢，進而四散各地（創十一 1-9)。 
mental restriction	意中保留。詳見 mental reservation 。 
Epistle to the Philippians	斐理伯書；腓立比書（基）保祿書信之一；流露出保祿對信友的親切慈愛，就像父親規勸子女一樣。 
primacy of the pope	教宗的最高神權；教宗首席權；繼承聖伯鐸首席權。詳見 pope 和 Peter, primacy of 。 
the genealogies of Jesus	耶穌的族譜瑪竇和路加福音分別記載了耶穌的族（宗）譜。路加從耶穌開始，經由達味王、亞巴郎，上溯到亞當，以證明耶穌為全人類的救主。而瑪竇從亞巴郎開始，經由達味王，直到耶穌，證明祂就是預許的默西亞。二族譜的名字也不盡相同，路加大約著重血統關係，而瑪竇可能是按照世系法列出。 
pauline privilege	保祿特權。詳見 pauline privilege 。 
fraternal correction	友誼規勸協助他人避免犯罪或犯錯（瑪十八 15-17 ；得三 15)。 
human and cultural activity	人類文化與活動。 
beatific vision	榮福直觀。詳見 beatific vision 。 
apostolic vicariate	宗座代牧區。詳見 apostolic vicariate 。 
the Western Church	 西方基督教會；西歐天主教；拉丁禮（儀）教會以拉丁文為教會語言、隸屬于教宗的天主教會。與東方禮（儀）教會相對照，東方禮天主教雖然禮儀和語言有所不同，但仍隸屬同一教宗，同為一個天主教會。 
the Protestant Reformation	宗教改革；改教運動十六世紀的西歐信友，對宗教生活的反感而導致的宗教改革。發起者是馬丁．路德 Martin Luther (1483-1546)，原為天主教思定會會士，因不滿當時教會之某些故步自封作風，於 1517 年提出「九十五論題 Ninety-Five Theses 」，與教會分道揚鑣；是為基督教更正宗（或稱耶穌教、誓反教 Protestants)之開始。當時天主教斥之為拒絕基督徒真理之行動；然而痛定思痛之餘，在特利騰大公會議(1545-1563)中也適時激發了內部的改革而得以復蘇。 
Pope John Paul I	教宗若望保祿一世就任教宗 34 天后即去世(1912-1978)，世人稱之為「微笑教宗」。 
imperfect contrition	下等痛悔因畏懼天主、或因羞愧、或恐受罰而生的悔罪行為。為辦告解的要件之一。 
Apostolic Dataria	教廷審計院。又稱 Apostolic Datary 。 
to make the sign of cross	畫十字；請聖號畫十字乃信仰的宣示，多用於宗教儀式前後。通常畫十字時口念因父，及子，及聖神之名。阿們。詳閱 Sign of the Cross, to make the 。 
spiritual reading	閱讀聖書；看聖書。 
Apostleship of Prayer	祈禱宗會。詳見 Apostleship of Prayer 。 
Council of Elvira	厄耳維拉主教會議西元 324 年舉行於西班牙厄耳維拉城的會議；會中決定主教、神父、六品應獨身；為天主教聖職人員獨身法之起源。 
the Books of Machabees	瑪加伯書。舊約史書最後一部，分上、下兩書，記載紀元前二世紀，猶太人保衛宗教自由的戰爭，書以希臘文寫成。亦稱 Maccabees 。 
biblical authenticity	聖經的權威性；聖經的可靠性；聖經的正統性。 
scholastic theology	士林神學中世紀之經院神學。 
Little Office of Blessed Virgin Mary	聖母小日課採取日課形式，但較日課簡化的特敬聖母之祈禱文，昔日不少會士及教友誦念之，今多改念（已簡化之）日課。 
clergy conference	神父會議；聖職會議；教士會議堂區司鐸集會討論牧靈問題。亦可稱為 pastoral conference 。 
Sacrament of Penance	懺悔聖事；告解聖事；和好聖事；辦告解（神工）信徒懷著悔改之心，向合法的司祭（鐸）告自己（領洗後所犯）的罪，後者代表天主赦免其罪，使之與天主及教會重修舊好（法典 959)。又稱 Confession, Sacrament of 。 
Gospel of St. Luke	聖路加福音新約四福音之一，為希臘人路加所寫，約成於西元 62 年前，為使外邦人對基督之福音獲得正確的認識，強調基督是全人類的救主，而對基督誕生的描述更是膾炙人口。 
diriment (nullifying) impediments	無效限制使人無能力有效地締結婚姻；其中包括由婚姻本身而產生者、為保護善良風俗者、為保護信仰者。惟有天主教最高當局可聲明神律的婚姻限制（無效或不法），亦可為領洗者制定其他婚姻限制（參閱法典 1073-1094)。 
plenary council	全區主教會議；全國會議同一主教團內的所有地區所召開的會議（法典 439)。中國 1924 年所召開的上海會議即用此稱呼。 
sabbatical year	安息年；休假年源自猶太人每七年就休耕並緩債一年（參閱肋廿五章）。 
the antiphons of Our Lady	聖瑪利亞對經共四首大哉救主之母 Alma Redemptoris Mater 、萬福天上母后 Ave Regina Caelorum 、天上母后歡樂吧 Regina Caeli 、母后萬福 Salve Regina ；在每日夜禱中，分別於將臨期、四旬期、復活期、常年期誦或唱。 
grains of incense for the paschal candle	五傷釘五傷蠟上的五枝用乳香製成的釘子，代表耶穌被釘的五個鐵釘。 
finance council	經濟委員會每一教區應設立經濟委員會，由主教擔任主席，委員會成員中，主教應至少任命三位精通經濟、民法、品德無缺的信徒（法典 492)。 
Eastern Church	東方教會指源於東羅馬帝國的教會及其信友團體。與西方曾有三次分裂經驗奈斯多利之爭(431 年）、一性論(451 年）、新舊羅馬之爭(1054 年）。事實上，統一的教會並不排除多元化真理傳達的方法、禮儀、法律和管理的結構容或有所不同，因而有東、西方禮儀之別。東方禮有五種亞歷山大禮、安提約基禮、加式丁禮、亞美尼亞禮和拜占庭禮。其中拜占庭禮流傳既多又廣，名稱也不一，如東正教、東方正統教會、希臘斯拉夫教會等等名稱。東方教會有的與教宗保持共融，有的則分道揚鑣。 
diocesan bishop	教區主教指接受委託照顧一個教區的主教。否則稱為領銜主教 titular bishop （法典 376)。 
secular clergy	教區聖職人員；在俗聖職人員為直屬于教區主教的聖職人員，以別于修會聖職人員 regular clergy 。今多稱 diocesan clergy 。 
Finding of the True Cross	尋獲十字聖架紀念西元 326 年君士坦丁的母親－海倫太后在聖地尋獲耶穌被釘的十字架之事蹟。 
Ring of the Fisherman	漁人指環（印信）；教宗權戒。詳見 Ring of the Fisherman 。 
Holy See	聖座；宗座教宗所轄之區域及許可權－全球的天主教會。又稱 See, Apostolic 。參閱 Curia, Roman 。 
original innocence	原始無罪狀態原祖亞當、夏娃墮落前之情況。 
domestic prelate	蒙席原指供職教宗宮廷的聖職人員，現為有功於教會的聖職人員的一個榮銜。 
Our Lady of Perpetual Help	萬應聖母。詳見 Our Lady of Perpetual Help 。 
the Sanctifying power of the Church	教會的聖化權。 
seal of confession	告解保密。詳見 seal of confession 。 
Code of Canon Law	天主教法典；聖教法典；教會法典；教律又可稱為 ecclesiastical canons / law ；拉丁文稱作 Codex Iuris Canonici ，簡稱 C.I.C. 。此法典 1917 年首次公佈，共 2414 條。 1983 年修訂為 1752 條，共七卷 (1) 總則。 (2) 天主子民。 (3) 教會訓導職。 (4) 教會聖化職。 (5) 教會財產。 (6) 教會刑法。 (7) 訴訟法。 
altar wine	 彌撒酒彌撒中為祝聖耶穌聖血所用的（特製）純葡萄酒。 
religious tolerance	宗教容忍指尊重、同情、友愛地對待與自己信仰不同的人。是基於對人權的尊重；但容忍不等於贊成對方的信仰，也不表示對宗教信仰持模棱兩可態度。 
divine tradition	聖傳。詳見 tradition 。 
moral virtue	道義之德；倫理之德；倫理德性指一切合乎人性及神律修養（向善）的好習慣，使人易於正確地達到超性目的，主要有智、義、勇、節四樞德和服從、貞潔、謙虛、善良等等。 
canonical age	教會的法定年齡未滿七歲者為嬰兒，七歲至十八歲者為未成年人，滿十八歲者為成年人（法典 97)。教會法規定滿十四歲者應守小齋，滿十八歲至五十九歲者應守大齋（法典 1252)。結婚的最低年齡，男子應滿十六歲，女子應滿十四歲（法典 1083)。男女修會會士發暫願需滿十八歲，發永願需滿廿一歲（法典 656-658)。晉鐸需滿廿五歲（法典 1031)。晉牧（主教）需滿卅五歲（法典 378)。 
The Ten Commandments of God	天主十誡天主在西奈山授與梅瑟（摩西）的誡命（出廿 1-17 ；申五 6-21 ；瑪五 17-47)。十誡為 (1) 欽崇一天主在萬有之上。 (2) 毋呼天主聖名，以發虛誓。 (2) 守瞻禮主日。 (4) 孝敬父母。 (5) 毋殺人。 (6) 毋行邪淫。 (7) 毋偷盜。 (8) 毋妄證。 (9) 毋願他人妻。 (10) 毋貪他人財物。又稱 Decalog (-ue)。耶穌把十誡歸納成愛的法律愛天主在萬有之上、愛人如己。 
communion of saints	諸聖相通（功）指教會所有成員，包括天堂上的、煉獄中的、現世的成員，在天主聖三的生命與幸福中互相依賴、彼此援助。 
married clergy	已婚聖職人員已婚（天主）教徒之成為聖職人員者，尤指東方禮天主教已婚的聖職人員。 
oil of catechumens	候洗者聖油；慕道者聖油。 
ferendae (L.) sententiae	待科罰。詳見 poena ferendae sententiae 。 
Christ the King	基督普世君王（節）為教宗碧岳十一世於 1925 年所創立，在教會禮儀年曆的常年期最後一個主日慶祝。 
works of charity	慈善事業；慈善工作；愛德工作。 
papal colo(u)r	教宗旗。詳見 papal flag 。 
in purgatory souls	煉獄靈魂；煉靈那些沒有重罪或重罪已得赦免，但因有小罪或罪罰尚未解除的人，死後需經過煉淨－稱他們為煉靈，等煉淨俱備必要聖德後方能升天。 
Book of Amos	亞毛斯書；阿摩司書（基）舊約小先知書之一；亞毛斯生於紀元前八世紀，他責斥人民的罪惡、預言北國的滅亡、也預言默西亞王國的來臨和萬民的歸正。 
guardian angel	護守天使；護守天神天主為每一個人所指派的守護者（瑪十八 10)，每年十月二日為護守天使紀念日。 
inter-diocesan council	各教區間會議如臺灣地區主教會議。 
the seven sacraments	七件聖事指聖洗 baptism 、堅振 confirmation 、聖體或感恩 Eucharist 、告解或懺悔 penance 、病人傅油 anointing of the sick 、聖秩 holy orders 、婚姻 matrimony 等七件聖事。 
Sacred Congregation of Religious	修會聖部羅馬教廷部會之一， 1586 年由教宗思道五世(Sixtus V)成立，幾經改組；主管有關修會及度共同生活之教會團體(religious Institutes)之行政、紀律、學術研究、財產、特權等。 1967 年 8 月教宗保祿六世(Paul VI)改名為修會及俗世部(Sacred Congregation of Religious and Secular Institutes)。今改為奉獻生活及使徒團體部 Congregation for Institutes of Consecrated Life and Societies of Apostolic Life 。 
to accomplish the will of God	 奉（承）行天主聖意；順從天主的安排指奉行天父在基督內所定的救恩計畫。在日常生活中，不斷探討及分辨天主的旨意，之後採取行動，予以實踐。耶穌所傳授的天主經內指示「願（天主）的旨意奉行在人間，如同在天上」。 
eternal punishment	永罰指罪人下了地獄，永遠與天主隔離的處罰。 
Catholic of Eastern Rite	東方禮天主教教友包括埃及禮 Coptic 、衣索匹亞禮 Ethiopian 、敘利亞禮 Syrian Rite 、加爾底亞禮 Chaldean Rite 、亞美尼亞禮 Armenian Rite 、南印度馬拉伯禮 Malabar 、南印度馬朗卡爾禮 Malankar 、馬勞尼特禮 Maronite 、拜占庭禮 Byzantine Rite 等。東方禮天主教與西方拉丁教會之禮儀雖各有千秋，但在信理和與教宗共融上卻完全一致。 
the four ends of the Mass	彌撒四目的崇拜、補贖（痛悔）、謝恩、祈求。 
apocryphal Gospel	偽福音書近似福音而未經教會認可的初期教會（一至五世紀）之作品。 
St. Ambrose	聖安博義大利米蘭教區主教，聖師之一，曾協助聖思定皈依。舊名盎博羅削。 
Sacrament of the Anointing of the Sick	病人傅油聖事；病人聖事；終傅聖事（舊稱）七件聖事之一，司鐸用聖油敷抹病人，並誦念規定經文，藉以將病人託付給基督，求祂賜與安慰和拯救（法典 998)。因此教友病重時，應請神父傅（敷抹）聖油，使之增加恩寵，赦免罪過，並減輕其精神及肉體方面的苦痛，有時也會恢復病患之健康（雅五 14-15)。舊稱 Extreme Unction 。 
divine law	神律；天主的法律；永律指天主為全人類所頒佈的法律，分 (1) 自然律 natural law ，天主在宇宙中所定的規律，譬如人的良心便是天主為人訂的避惡行善之標準。 (2) 明（成）文律 positive divine law ，譬如天主透過梅瑟所頒佈的十誡，以及耶穌所傳授的彼此相愛的命令。又可稱為永律 law, eternal 。 
Diet of Augsburg	奧斯堡帝國議會由查理五世於 1530 年所召開，主要為解決日爾曼的宗教問題。 
seven deadly sins	七罪宗。詳見 sins, capital 。 
papal bull	教宗詔書；教宗訓諭為教宗所頒發的最隆重之文告；通常以「某某主教，天主眾僕之僕」字句開始；如任命主教的文告即是。拉丁語原文為 Bulla ，指鉛封而言。教宗使用的公文程式均為拉丁文，共分五種 (1) 詔書 Bulla 。 (2) 自動詔書 Motu Proprio 。 (3) 通諭 Littera Encyclica 。 (4) 宗座簡函 Brevis 。 (5) 牧函 Littera Pastoralis 。 
mystical theology	神秘神學講授、尋求、接近天主，藉以瞭解人類所不能明白的真理。 
sacred vestments	祭衣（服）司祭舉行宗教儀式時所穿的特製服飾。 
divine economy	天主創造的計畫；天主創造萬物；天主永恆措施；天道。參閱弗三 9 。 
suffragan bishop	教省隸屬主教教省中主席為總主教，其他主教均為教省隸屬主教，亦即教區主教。總主教對其隸屬主教只有監督教義和紀律的權利和義務，以及召集省會議與接受教會法庭上訴的職責，但對隸屬主教並無治理權（法典 435-436)。參閱 bishop, residential 。 
Book of Sirach	息辣書；德訓篇；教會經典舊約智慧書之一，勸人應以敬畏上主為生活的準則，並以守法為獲得幸福的基礎。 
Arguments for Existence of God	天主存在的論證；天主實有證明人從外在客觀事實及主觀體驗、思考，足以推測出天主的存在。譬如從原始動能、宇宙的基源、第一因、最高秩序的佈置者和管理者、最高的立法者、真善美聖的根源、絕對的實有、科學家的驚奇發現、文學家和藝術家美妙的作品等等論證，可以發現天主就在我們四周，所謂舉頭三尺有神明，祂是全能、全知、萬美、萬善、無始、無終 … 的造物主、審判官、慈愛的天父。 
Mass of the faithful	信友彌撒今稱聖祭禮儀，指自奉獻禮至領聖體部分，屬於彌撒的聖祭禮儀，與前一段的聖道禮儀共同構成彌撒之全部。 
the Redemption	救贖；拯救；救援世人因原罪而失寵於天主，但天主因愛人而派遣了救贖者－聖子耶穌降生、被釘十字架，讓世人重回天主懷抱。 
National Catholic Almanac	美國天主教年鑒美國方濟會每年出版的手冊，是一本介紹美國天主教的實用參考書。 
biblical theology	聖經神學；聖經中的神學討論有關聖經的神學。 
human right	人權。詳見 human right 。 
civil law	民法；國法國民應憑良心遵守正義、合理的國法，因為其權力是來自天主。 
to make the sign of the cross	畫（請）十字聖號；畫十字；請聖號十字聖號表示基督徒基本信仰之記號，因為十字乃耶穌死而復活之標幟。畫十字聖號之方式如下 (1) 小聖號用右手姆指在額頭、口唇上及胸前各畫三個小十字，其過程是以十字聖架號－在額頭上畫十字，天主我等主－在口唇上畫十字，救我等於我仇－在胸前畫十字。彌撒中福音前畫此聖號。 (2) 大聖號用右手由額頭至胸，再由左肩至右肩，畫一個大十字，其過程是因父及子－用右手由額頭轉到胸口，及聖神之名－再由左肩轉到右肩，阿們。一般祈禱前後多畫此聖號。 (3) 有時大、小聖號合用，先畫小聖號，再畫大聖號。 (4) 神父祝福或降福時，面向會眾用右手畫一大十字，又稱 bless ，主教和教宗祝福時則畫三個大十字。 
perpetual vows	終身願；永願；末願；大願。同 final vows 。 
natural religion 	自然宗教指以自然為中心的宗教，認為宇宙實體含有靈性的生命和力量，是神臨現的處所，而應以宗教情緒相待。亞洲的自然宗教雖傾向於多神崇拜，但經常也混合著至上神的信仰。又稱原始宗教。 
ordinary jurisdiction	正常管理權；正（常）任管理權。 
Sacred College of Cardinals	樞機團是有權選舉教宗的普世樞機主教團體。 
external forum	外庭；公開範圍；外在範圍指教會處理與公共利益有關的外在行為；屬於法律範圍，如打傷人，以治權可免除其罰。 
the Hail Mary	萬福瑪利亞；聖母經；聖母頌教會最常用的祈禱文之一，又稱天使致候詞 Angelic Salutation ，前半段由天使致候詞（路一 28)及其表姐麗莎(Elizabeth)問候語（路一 42)所組成。後半段為十三世紀由教會所增；另說是由教宗碧嶽五世(1506-1572)所增。全文見 Ave Maria 。 
moral theology	倫理神學；道德神學討論有關人的品行、風紀、行為標準、是非原則、倫理道德等學問，指導人類透過分享天主的生活，以便報答天主對世人的愛。 
the Last Supper	最後晚餐指耶穌受難前夕，與門徒共用的逾越節晚餐，其間耶穌建立了聖體聖事，是最重要的救恩事件（瑪廿六 17-25 ；穀十四 12-21 ；路廿二 7-20 若十三 1-4)。拉丁文稱作 Coena Domini 。 
episcopal visitation	主教視察主教依法典要求，須視察其轄區的各個堂區和機構(396)。 
